protection	configuration	head_mode	training_mode	epoch	lr	train_loss	train_accuracy	accuracy	fidelity	kl_divergence_victim_to_surrogate
full_protection	replace_finetune	replace	finetune	89	0.0001	0.0733372055888176	0.998	0.1782	0.1913	3.3514120059967043
full_protection	replace_finetune	replace	finetune	90	0.0001	0.06771942433714867	1.0	0.1777	0.1905	3.341698589324951
full_protection	replace_finetune	replace	finetune	91	1e-05	0.07874094438552856	0.998	0.1777	0.1906	3.351085233306885
full_protection	replace_finetune	replace	finetune	92	1e-05	0.07086874568462372	1.0	0.1776	0.1903	3.3490072353363036
full_protection	replace_finetune	replace	finetune	93	1e-05	0.0758206124305725	0.996	0.1773	0.189	3.3498358421325682
full_protection	replace_finetune	replace	finetune	94	1e-05	0.061356537818908694	1.0	0.1774	0.189	3.3486189449310304
full_protection	replace_finetune	replace	finetune	95	1e-05	0.09184768140316009	0.992	0.1776	0.1901	3.358170822143555
full_protection	replace_finetune	replace	finetune	96	1e-05	0.07642549216747284	0.994	0.1776	0.1903	3.348359717941284
full_protection	replace_finetune	replace	finetune	97	1e-05	0.07443079948425294	0.998	0.1779	0.1912	3.336690037918091
full_protection	replace_finetune	replace	finetune	98	1e-05	0.08251568353176117	0.998	0.1777	0.1904	3.3383525016784668
full_protection	replace_finetune	replace	finetune	99	1e-05	0.0905986783504486	0.99	0.1774	0.1899	3.346561597824097
full_protection	replace_finetune	replace	finetune	100	1e-05	0.06828515946865082	1.0	0.1763	0.1906	3.344272519683838
full_protection	adapter_frozen	adapter	frozen	1	0.01	4.83735432434082	0.044	0.0658	0.0695	3.552564108657837
full_protection	adapter_frozen	adapter	frozen	2	0.01	3.7418316593170164	0.138	0.0953	0.0994	3.347004752731323
full_protection	adapter_frozen	adapter	frozen	3	0.01	3.2541897220611573	0.198	0.1188	0.122	3.257696272277832
full_protection	adapter_frozen	adapter	frozen	4	0.01	2.896461156845093	0.266	0.1272	0.1303	3.252869470214844
full_protection	adapter_frozen	adapter	frozen	5	0.01	2.715141847610474	0.302	0.1349	0.1387	3.2684593887329103
full_protection	adapter_frozen	adapter	frozen	6	0.01	2.5637753028869628	0.366	0.1344	0.1387	3.2860509380340575
full_protection	adapter_frozen	adapter	frozen	7	0.01	2.3880318641662597	0.376	0.1492	0.1535	3.3242152080535887
full_protection	adapter_frozen	adapter	frozen	8	0.01	2.2469331092834475	0.428	0.1471	0.151	3.367163195800781
full_protection	adapter_frozen	adapter	frozen	9	0.01	2.162817331314087	0.45	0.1507	0.1528	3.356717166519165
full_protection	adapter_frozen	adapter	frozen	10	0.01	2.0322031173706057	0.464	0.1513	0.1546	3.4286825717926024
full_protection	adapter_frozen	adapter	frozen	11	0.01	1.9359838371276856	0.482	0.161	0.1643	3.4043636863708495
full_protection	adapter_frozen	adapter	frozen	12	0.01	1.910148962020874	0.496	0.1588	0.1617	3.4481646209716796
full_protection	adapter_frozen	adapter	frozen	13	0.01	1.7724226350784302	0.536	0.1605	0.1662	3.4785512145996096
full_protection	adapter_frozen	adapter	frozen	14	0.01	1.6899106540679931	0.564	0.1607	0.1659	3.5441790184020996
full_protection	adapter_frozen	adapter	frozen	15	0.01	1.63573929977417	0.606	0.1611	0.1672	3.5822589416503905
full_protection	adapter_frozen	adapter	frozen	16	0.01	1.6186399698257445	0.586	0.1655	0.1702	3.587737477493286
full_protection	adapter_frozen	adapter	frozen	17	0.01	1.5630299034118653	0.578	0.169	0.1722	3.5793379066467286
full_protection	adapter_frozen	adapter	frozen	18	0.01	1.483686445236206	0.6	0.1712	0.1756	3.6492130771636964
full_protection	adapter_frozen	adapter	frozen	19	0.01	1.4733961744308472	0.616	0.1663	0.1719	3.6472493843078615
full_protection	adapter_frozen	adapter	frozen	20	0.01	1.454235860824585	0.608	0.1681	0.1741	3.7143398792266846
full_protection	adapter_frozen	adapter	frozen	21	0.01	1.3998570051193238	0.63	0.1672	0.1712	3.7449953392028807
full_protection	adapter_frozen	adapter	frozen	22	0.01	1.362891025543213	0.668	0.1695	0.1725	3.76334469833374
full_protection	adapter_frozen	adapter	frozen	23	0.01	1.3831314067840577	0.628	0.1681	0.1724	3.7755891220092774
full_protection	adapter_frozen	adapter	frozen	24	0.01	1.3396584186553955	0.666	0.1674	0.1731	3.7469722484588623
full_protection	adapter_frozen	adapter	frozen	25	0.01	1.291402726173401	0.666	0.1686	0.1746	3.8123532455444336
full_protection	adapter_frozen	adapter	frozen	26	0.01	1.2341743984222413	0.692	0.1679	0.1714	3.8379149368286134
full_protection	adapter_frozen	adapter	frozen	27	0.01	1.2155620136260987	0.688	0.1682	0.1731	3.850339047241211
full_protection	adapter_frozen	adapter	frozen	28	0.01	1.135064805984497	0.714	0.1681	0.1719	3.9109239372253417
full_protection	adapter_frozen	adapter	frozen	29	0.01	1.1351090440750122	0.736	0.1688	0.1756	3.9525094940185546
full_protection	adapter_frozen	adapter	frozen	30	0.01	1.1679340991973877	0.694	0.1704	0.1755	3.9578628524780273
full_protection	adapter_frozen	adapter	frozen	31	0.001	1.094505376815796	0.722	0.1705	0.1758	3.946863433074951
full_protection	adapter_frozen	adapter	frozen	32	0.001	0.9875853328704834	0.766	0.1718	0.1763	3.939580097961426
full_protection	adapter_frozen	adapter	frozen	33	0.001	0.9935793209075928	0.764	0.1724	0.1773	3.932308805847168
full_protection	adapter_frozen	adapter	frozen	34	0.001	1.0220086369514465	0.766	0.1722	0.1775	3.934304676055908
full_protection	adapter_frozen	adapter	frozen	35	0.001	1.0081721048355103	0.766	0.172	0.1777	3.9390819122314453
full_protection	adapter_frozen	adapter	frozen	36	0.001	0.988855827331543	0.76	0.173	0.1783	3.943301155090332
full_protection	adapter_frozen	adapter	frozen	37	0.001	1.0276230988502502	0.78	0.1727	0.1782	3.945460930633545
full_protection	adapter_frozen	adapter	frozen	38	0.001	0.9938331212997437	0.79	0.1718	0.1774	3.946198268890381
full_protection	adapter_frozen	adapter	frozen	39	0.001	0.9912494096755982	0.772	0.1731	0.1776	3.942452864074707
full_protection	adapter_frozen	adapter	frozen	40	0.001	1.0425588512420654	0.744	0.1728	0.177	3.940885710144043
