seed	subset	restored_group_count	restored_groups	restored_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms
43	31	5	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1	589824	5.195435791015625	4.668898315429687	0.01	3.9182159423828127	1.6519676729230546	37.17329833984375	0.9871162228937381
43	32	1	bn_gamma	4800	4.6522454833984375	4.125707397460937	0.01	4.560505981445313	0.5204563617863901	11.73502685546875	0.299236526479133
43	33	2	layer1_0_conv1,bn_gamma	41664	4.6515264892578125	4.124988098144531	0.01	4.5621923828125	0.5134671645321971	11.56797119140625	0.29482520145683355
43	34	2	layer1_1_conv1,bn_gamma	41664	4.667750244140625	4.141212463378906	0.01	4.561583251953125	0.5133310047113355	11.57107421875	0.2946473577510708
43	35	3	layer1_0_conv1,layer1_1_conv1,bn_gamma	78528	4.668522644042969	4.141984558105468	0.02	4.563041076660157	0.5101396122741602	11.490606689453125	0.291107242289971
43	36	2	layer2_0_conv1,bn_gamma	78528	4.655497436523437	4.128959045410157	0.01	4.560896911621094	0.518269548488175	11.673477783203126	0.29881155999839076
43	37	3	layer1_0_conv1,layer2_0_conv1,bn_gamma	115392	4.66457275390625	4.13803466796875	0.01	4.561409301757813	0.516409795751821	11.63615478515625	0.2980364206062952
43	38	3	layer1_1_conv1,layer2_0_conv1,bn_gamma	115392	4.672711791992188	4.14617431640625	0.01	4.563444519042969	0.5075337839391577	11.446412353515624	0.2900414798931245
43	39	4	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,bn_gamma	152256	4.676116943359375	4.149579162597656	0.01	4.562414855957031	0.513851931964256	11.59085205078125	0.29473459492450577
43	40	2	layer2_1_conv1,bn_gamma	152256	4.652493896484375	4.125955810546875	0.01	4.560863952636719	0.52302895159848	11.790399169921875	0.29829480595505786
43	41	3	layer1_0_conv1,layer2_1_conv1,bn_gamma	189120	4.65671630859375	4.130177917480469	0.01	4.562408447265625	0.5179103076121936	11.668017578125	0.2947093812296542
43	42	3	layer1_1_conv1,layer2_1_conv1,bn_gamma	189120	4.667814331054688	4.141275939941406	0.01	4.562419128417969	0.5157040067311808	11.62443359375	0.29207709102154755
43	43	4	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1,bn_gamma	225984	4.671200561523437	4.144662475585937	0.0	4.563577880859375	0.514073371192516	11.5871435546875	0.29008255408347766
43	44	3	layer2_0_conv1,layer2_1_conv1,bn_gamma	225984	4.658057861328125	4.131519775390625	0.02	4.560715942382813	0.5230572677388898	11.78332763671875	0.3004642607243934
43	45	4	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1,bn_gamma	262848	4.668524475097656	4.141986389160156	0.01	4.561129455566406	0.521291331017919	11.748453369140625	0.3002616859976061
43	46	4	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,bn_gamma	262848	4.671480102539062	4.144942016601562	0.01	4.562955932617188	0.5147185339775232	11.607890625	0.29265511336872174
43	47	5	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,bn_gamma	299712	4.67522216796875	4.14868408203125	0.02	4.561959838867187	0.520029828609901	11.72911865234375	0.29737452834333655
43	48	2	layer3_0_conv1,bn_gamma	299712	4.69822509765625	4.17168701171875	0.0	4.547767944335938	0.5762360266193216	12.9502880859375	0.33708553833745225
43	49	3	layer1_0_conv1,layer3_0_conv1,bn_gamma	336576	4.6995849609375	4.173046875	0.0	4.546910400390625	0.5874973702879145	13.21135009765625	0.3418486835735038
43	50	3	layer1_1_conv1,layer3_0_conv1,bn_gamma	336576	4.695010986328125	4.168472900390625	0.0	4.547944030761719	0.5801123201200592	13.0530126953125	0.3375212666910783
43	51	4	layer1_0_conv1,layer1_1_conv1,layer3_0_conv1,bn_gamma	373440	4.706836547851562	4.180298461914062	0.0	4.546449584960937	0.5978596340009698	13.450733642578125	0.3440828998834256
43	52	3	layer2_0_conv1,layer3_0_conv1,bn_gamma	373440	4.703228759765625	4.176690673828125	0.0	4.542858276367188	0.6159859310871989	13.85126708984375	0.35434840618909236
43	53	4	layer1_0_conv1,layer2_0_conv1,layer3_0_conv1,bn_gamma	410304	4.712374572753906	4.185836486816406	0.0	4.538667602539062	0.6395532491196277	14.383714599609375	0.3670403794362669
43	54	4	layer1_1_conv1,layer2_0_conv1,layer3_0_conv1,bn_gamma	410304	4.707502746582032	4.180964660644531	0.0	4.542695922851562	0.6172581422190737	13.897471923828125	0.35470038867001014
43	55	5	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer3_0_conv1,bn_gamma	447168	4.718464050292969	4.191925964355469	0.0	4.536279296875	0.6529038342267924	14.691290283203125	0.3732924012043039
43	56	3	layer2_1_conv1,layer3_0_conv1,bn_gamma	447168	4.687123413085938	4.160585327148437	0.0	4.546357421875	0.5867811634579475	13.1843603515625	0.34259703660742236
43	57	4	layer1_0_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma	484032	4.696558532714843	4.170020446777344	0.0	4.544896240234375	0.6022427920824245	13.532001953125	0.34915113998766706
43	58	4	layer1_1_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma	484032	4.68197265625	4.1554345703125	0.0	4.5458746337890625	0.595693775541385	13.40031005859375	0.3448059420823726
43	59	5	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma	520896	4.697049865722656	4.170512084960937	0.0	4.5441720581054685	0.6151388194642848	13.8361669921875	0.352207013379117
