seed	subset	public_group_count	public_groups	public_state_count	public_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	kl_minus_victim
46	11	3	stem,block_bn1,downsample	12	2880	3.6055056762695314	2.9792379760742187	0.17	2.701173095703125	0.4232732362717318	9.547210693359375	1.9672729578340165	2.979237865268078
46	12	2	block_bn2,downsample	11	2816	6.024161376953125	5.397894287109375	0.16	0.9717344665527343	1.3731402773174364	30.950703125	6.036071000659287	5.397894176303235
46	13	3	stem,block_bn2,downsample	12	2880	8.644331665039063	8.01806396484375	0.07	1.005363998413086	1.3756075539841024	31.02412353515625	6.275338636280914	8.018063854037608
46	14	3	block_bn1,block_bn2,downsample	19	4736	12.285809326171876	11.659541015625	0.07	0.7031800842285156	1.716057728043134	38.59684814453125	6.906770681729632	11.65954090481886
46	15	4	stem,block_bn1,block_bn2,downsample	20	4800	13.598768310546875	12.9725	0.02	0.7474703979492188	1.6448486369797737	36.99109130859375	6.704541837441243	12.972499889193859
47	0	0		0	0	0.5082523345947265	8.767703548073768e-08	1.0	0.5082577133178711	0.6623741174257542	14.90194091796875	3.0190171983196783	0.0
47	1	1	stem	1	64	1.5790347290039062	1.0707823944091797	0.59	1.3816941833496095	0.616617987833571	13.89440185546875	2.7772838293465796	1.0707823067321443
47	2	1	block_bn1	8	1920	1.1473407745361328	0.6390885162353516	0.76	1.2431275177001953	0.5744091149162138	12.838233642578125	2.5105433923754434	0.639088428558316
47	3	2	stem,block_bn1	9	1984	2.85623779296875	2.3479856872558593	0.3	1.8659361267089845	0.5416212483462556	12.15501953125	2.4223343919141302	2.347985599578824
47	4	1	block_bn2	8	1920	2.2516348266601565	1.7433827209472657	0.58	0.5428747940063476	1.4792673741117013	33.1777294921875	6.596031951105149	1.7433826332702302
47	5	2	stem,block_bn2	9	1984	5.4394970703125	4.931244812011719	0.29	0.6730077362060547	1.4907113935917895	33.4925439453125	6.900012681147767	4.931244724334683
47	6	2	block_bn1,block_bn2	16	3840	10.22241455078125	9.714163208007813	0.13	0.6096652221679687	1.691680477192446	37.7408056640625	6.277245614120894	9.714163120330777
47	7	3	stem,block_bn1,block_bn2	17	3904	13.3665771484375	12.8583251953125	0.07	0.5266517639160156	1.6604023714618845	37.02860107421875	5.970910734552979	12.858325107635464
47	8	1	downsample	3	896	0.8047052001953126	0.2964529800415039	0.88	1.3235894775390624	0.47239904546294004	10.628148193359374	2.1520246644148853	0.2964528923644684
47	9	2	stem,downsample	4	960	1.8456028747558593	1.3373506164550781	0.56	2.2799911499023438	0.4462451257092208	10.059318237304687	2.0695173237073905	1.3373505287780427
47	10	2	block_bn1,downsample	11	2816	1.6825326538085938	1.1742803955078125	0.57	2.1870761108398438	0.44655513386293716	9.98930908203125	2.0240076658081114	1.174280307830777
47	11	3	stem,block_bn1,downsample	12	2880	3.3324853515625	2.824233093261719	0.25	2.7093685913085936	0.42182377256975506	9.4954052734375	1.986382547496831	2.8242330055846834
